t,YA,YB,YC,YD,T
5.9197324414715726e-06,0.9996300588233828,0.00036994063281023105,5.438083655704159e-10,7.493870235360822e-18,390.17511062323865
6.0200668896321075e-06,0.9996299620202647,0.0003700374358627667,5.438739806225285e-10,7.494091016262915e-18,389.88470110474884
6.120401337792642e-06,0.9996298669646193,0.0003701324914438268,5.439382813248016e-10,7.49430685234595e-18,389.59953400791466
6.220735785953178e-06,0.9996297735968901,0.0003702258591099185,5.440013149840505e-10,7.494517933021133e-18,389.3194306629543
6.321070234113713e-06,0.9996296818604765,0.00037031759546169606,5.44063126471156e-10,7.494724437516704e-18,389.0442212676586
6.421404682274248e-06,0.9996295917015489,0.00037040775432870487,5.441237583774856e-10,7.494926535553177e-18,388.7737443331566
6.521739130434783e-06,0.999629503068848,0.0003704963869701143,5.441832511851965e-10,7.495124388080354e-18,388.5078460817179
6.622073578595318e-06,0.999629415913548,0.00037058354221167694,5.442416433821239e-10,7.495318147767504e-18,388.2463800358729
6.7224080267558536e-06,0.9996293301891022,0.0003706692666001829,5.442989715921087e-10,7.495507959563647e-18,387.98920655504986
6.8227424749163885e-06,0.9996292458510919,0.00037075360455415764,5.443552707019583e-10,7.495693961242237e-18,387.7361923834804
6.923076923076923e-06,0.9996291628571089,0.00037083659848188643,5.444105739602576e-10,7.495876283821818e-18,387.4872102961262
7.023411371237459e-06,0.9996290811666434,0.00037091828889297446,5.444649130706836e-10,7.496055051962827e-18,387.242138763997
7.123745819397994e-06,0.9996290007409471,0.00037099871453589246,5.445183183077039e-10,7.49623038446304e-18,387.0008615415142
7.224080267558529e-06,0.999628921542959,0.0003710779124714655,5.445708185771697e-10,7.496402394510595e-18,386.7632674460435
7.324414715719064e-06,0.9996288435372064,0.0003711559181725662,5.446224414996202e-10,7.496571190037841e-18,386.5292500588154
7.424749163879599e-06,0.9996287666896931,0.0003712327656350225,5.446732135030197e-10,7.496736874115524e-18,386.2987073922005
7.5250836120401346e-06,0.9996286909678608,0.00037130848741737875,5.44723159854809e-10,7.496899545082824e-18,386.07154177042696
7.6254180602006695e-06,0.9996286163404664,0.0003713831147626222,5.447723047639314e-10,7.497059296982295e-18,385.84765946439956
7.725752508361204e-06,0.9996285427775461,0.00037145667763462283,5.448206714101622e-10,7.49721621967866e-18,385.62697058238103
7.82608695652174e-06,0.9996284702503276,0.0003715292048053792,5.448682820167524e-10,7.497370399166002e-18,385.4093888082536
7.926421404682274e-06,0.9996283987311706,0.0003716007239155251,5.449151579002908e-10,7.497521917775937e-18,385.1948312199985
8.02675585284281e-06,0.9996283281935266,0.00037167126151338464,5.449613195024614e-10,7.497670854308008e-18,384.9832181725311
8.127090301003346e-06,0.9996282586118399,0.00037174084315454414,5.45006786473025e-10,7.497817284380956e-18,384.7744729989842
8.22742474916388e-06,0.9996281899615577,0.0003718094933920776,5.450515776603161e-10,7.497961280385553e-18,384.5685220400323
8.327759197324416e-06,0.9996281222190139,0.00037187723589171686,5.450957112073638e-10,7.49810291189221e-18,384.3652942983799
8.42809364548495e-06,0.9996280553614538,0.00037194409340819305,5.451392045308191e-10,7.498242245554883e-18,384.1647215097381
8.528428093645485e-06,0.999627989366927,0.00037201008789218267,5.451820744100201e-10,7.498379345487744e-18,383.96673782198496
8.628762541806021e-06,0.9996279242143047,0.0003720752404722643,5.452243369708462e-10,7.498514273191275e-18,383.7712798492959
8.729096989966555e-06,0.9996278598831924,0.00037213957154295663,5.452660077587373e-10,7.498647087859517e-18,383.57828640802956
8.829431438127091e-06,0.9996277963539366,0.00037220310075761583,5.453071017319184e-10,7.498777846347146e-18,383.38769853803507
8.929765886287627e-06,0.9996277336075545,0.0003722658470991158,5.453476333197525e-10,7.498906603413614e-18,383.19945929061157
9.03010033444816e-06,0.9996276716257352,0.0003723278288784974,5.453876164208954e-10,7.499033411711801e-18,383.01351373255955
9.130434782608697e-06,0.9996276103907812,0.0003723890637929766,5.4542706445101e-10,7.499158321986753e-18,382.8298087721577
9.230769230769232e-06,0.9996275498856085,0.0003724495689267433,5.454659903427687e-10,7.499281383072429e-18,382.64829315676525
9.331103678929766e-06,0.999627490093682,0.00037250936081478813,5.455044065983836e-10,7.499402642110643e-18,382.46891728134136
9.431438127090302e-06,0.9996274309990432,0.0003725684554157609,5.455423252664245e-10,7.499522144450256e-18,382.2916332698703
9.531772575250836e-06,0.9996273725862233,0.00037262686819825464,5.455797580129525e-10,7.499639933944241e-18,382.11639471650915
9.632107023411372e-06,0.9996273148402854,0.00037268461409903635,5.45616716086315e-10,7.499756052798866e-18,381.94315681089444
9.732441471571908e-06,0.9996272577467502,0.0003727417075978258,5.456532103786124e-10,7.499870541829472e-18,381.77187611380754
9.832775919732442e-06,0.9996272012916079,0.00037279816270411627,5.456892514143199e-10,7.499983440410456e-18,381.6025105967105
9.933110367892978e-06,0.9996271454612913,0.0003728539929851103,5.457248493729133e-10,7.500094786567746e-18,381.43501955793965
1.0033444816053512e-05,0.9996270902426467,0.0003729092115944799,5.457600141122005e-10,7.50020461707437e-18,381.26936353642475
1.0133779264214047e-05,0.9996270356229384,0.00037296383126805024,5.457947551643627e-10,7.500312967431996e-18,381.10550432463793
1.0234113712374583e-05,0.9996269815898038,0.00037301786436825173,5.458290817721531e-10,7.500419872019843e-18,380.9434048352373
1.0334448160535117e-05,0.9996269281312703,0.000373071322867844,5.458630028751832e-10,7.500525364036024e-18,380.7830291498944
1.0434782608695653e-05,0.999626875235706,0.00037312421839864136,5.458965271495725e-10,7.50062947566052e-18,380.62434237311874
1.0535117056856189e-05,0.999626822891844,0.000373176562227564,5.459296629879959e-10,7.50073223797091e-18,380.46731070410357
1.0635451505016723e-05,0.9996267710887285,0.0003732283653102461,5.459624185432977e-10,7.500833681121574e-18,380.31190127590173
1.0735785953177259e-05,0.999626719815726,0.00037327963828036293,5.459948017194486e-10,7.5009338343048e-18,380.158082187444
1.0836120401337794e-05,0.9996266690625243,0.00037333039145009137,5.460268201716432e-10,7.501032725749834e-18,380.00582250215706
1.0936454849498328e-05,0.9996266188190803,0.0003733806348623545,5.460584813487277e-10,7.501130382896832e-18,379.8550920912313
1.1036789297658864e-05,0.9996265690756561,0.0003734303782553581,5.460897924639796e-10,7.501226832275037e-18,379.7058617400093
