       x       pressure        density       velocity
  0.3887500E+01            NaN            NaN            NaN
  0.3912500E+01            NaN            NaN            NaN
  0.3937500E+01            NaN            NaN            NaN
  0.3962500E+01            NaN            NaN            NaN
  0.3987500E+01            NaN            NaN            NaN
  0.4012500E+01            NaN            NaN            NaN
  0.4037500E+01            NaN            NaN            NaN
  0.4062500E+01            NaN            NaN            NaN
  0.4087500E+01            NaN            NaN            NaN
  0.4112500E+01            NaN            NaN            NaN
  0.4137500E+01            NaN            NaN            NaN
  0.4162500E+01            NaN            NaN            NaN
  0.4187500E+01            NaN            NaN            NaN
  0.4212500E+01            NaN            NaN            NaN
  0.4237500E+01            NaN            NaN            NaN
  0.4262500E+01            NaN            NaN            NaN
  0.4287500E+01            NaN            NaN            NaN
  0.4312500E+01            NaN            NaN            NaN
  0.4337500E+01            NaN            NaN            NaN
  0.4362500E+01            NaN            NaN            NaN
  0.4387500E+01            NaN            NaN            NaN
  0.4412500E+01            NaN            NaN            NaN
  0.4437500E+01            NaN            NaN            NaN
  0.4462500E+01            NaN            NaN            NaN
  0.4487500E+01            NaN            NaN            NaN
  0.4512500E+01            NaN            NaN            NaN
  0.4537500E+01            NaN            NaN            NaN
  0.4562500E+01            NaN            NaN            NaN
  0.4587500E+01            NaN            NaN            NaN
  0.4612500E+01            NaN            NaN            NaN
  0.4637500E+01            NaN            NaN            NaN
  0.4662500E+01            NaN            NaN            NaN
  0.4687500E+01            NaN            NaN            NaN
  0.4712500E+01            NaN            NaN            NaN
  0.4737500E+01            NaN            NaN            NaN
  0.4762500E+01            NaN            NaN            NaN
  0.4787500E+01            NaN            NaN            NaN
  0.4812500E+01            NaN            NaN            NaN
  0.4837500E+01            NaN            NaN            NaN
  0.4862500E+01            NaN            NaN            NaN
  0.4887500E+01            NaN            NaN            NaN
  0.4912500E+01            NaN            NaN            NaN
  0.4937500E+01            NaN            NaN            NaN
  0.4962500E+01            NaN            NaN            NaN
  0.4987500E+01            NaN            NaN            NaN
  0.5012500E+01            NaN            NaN            NaN
  0.5037500E+01            NaN            NaN            NaN
  0.5062500E+01            NaN            NaN            NaN
  0.5087500E+01            NaN            NaN            NaN
  0.5112500E+01            NaN            NaN            NaN
  0.5137500E+01            NaN            NaN            NaN
  0.5162500E+01            NaN            NaN            NaN
  0.5187500E+01            NaN            NaN            NaN
  0.5212500E+01            NaN            NaN            NaN
  0.5237500E+01            NaN            NaN            NaN
  0.5262500E+01            NaN            NaN            NaN
  0.5287500E+01            NaN            NaN            NaN
  0.5312500E+01            NaN            NaN            NaN
  0.5337500E+01            NaN            NaN            NaN
  0.5362500E+01            NaN            NaN            NaN
  0.5387500E+01            NaN            NaN            NaN
  0.5412500E+01            NaN            NaN            NaN
  0.5437500E+01            NaN            NaN            NaN
  0.5462500E+01            NaN            NaN            NaN
  0.5487500E+01            NaN            NaN            NaN
  0.5512500E+01            NaN            NaN            NaN
  0.5537500E+01            NaN            NaN            NaN
  0.5562500E+01            NaN            NaN            NaN
  0.5587500E+01            NaN            NaN            NaN
  0.5612500E+01            NaN            NaN            NaN
  0.5637500E+01            NaN            NaN            NaN
  0.5662500E+01            NaN            NaN            NaN
  0.5687500E+01            NaN            NaN            NaN
  0.5712500E+01            NaN            NaN            NaN
  0.5737500E+01            NaN            NaN            NaN
  0.5762500E+01            NaN            NaN            NaN
  0.5787500E+01            NaN            NaN            NaN
  0.5812500E+01            NaN            NaN            NaN
  0.5837500E+01            NaN            NaN            NaN
  0.5862500E+01            NaN            NaN            NaN
  0.5887500E+01            NaN            NaN            NaN
  0.5912500E+01            NaN            NaN            NaN
  0.5937500E+01            NaN            NaN            NaN
  0.5962500E+01            NaN            NaN            NaN
  0.5987500E+01            NaN            NaN            NaN
  0.6012500E+01            NaN            NaN            NaN
  0.6037500E+01            NaN            NaN            NaN
  0.6062500E+01            NaN            NaN            NaN
  0.6087500E+01            NaN            NaN            NaN
  0.6112500E+01            NaN            NaN            NaN
  0.6137500E+01            NaN            NaN            NaN
  0.6162500E+01            NaN            NaN            NaN
  0.6187500E+01            NaN            NaN            NaN
  0.6212500E+01            NaN            NaN            NaN
  0.6237500E+01            NaN            NaN            NaN
  0.6262500E+01            NaN            NaN            NaN
  0.6287500E+01            NaN            NaN            NaN
  0.6312500E+01            NaN            NaN            NaN
  0.6337500E+01            NaN            NaN            NaN
  0.6362500E+01            NaN            NaN            NaN
  0.6387500E+01            NaN            NaN            NaN
  0.6412500E+01            NaN            NaN            NaN
  0.6437500E+01            NaN            NaN            NaN
  0.6462500E+01            NaN            NaN            NaN
  0.6487500E+01            NaN            NaN            NaN
  0.6512500E+01            NaN            NaN            NaN
  0.6537500E+01            NaN            NaN            NaN
  0.6562500E+01            NaN            NaN            NaN
  0.6587500E+01            NaN            NaN            NaN
  0.6612500E+01            NaN            NaN            NaN
  0.6637500E+01            NaN            NaN            NaN
  0.6662500E+01            NaN            NaN            NaN
  0.6687500E+01            NaN            NaN            NaN
  0.6712500E+01            NaN            NaN            NaN
  0.6737500E+01            NaN            NaN            NaN
  0.6762500E+01            NaN            NaN            NaN
  0.6787500E+01            NaN            NaN            NaN
  0.6812500E+01            NaN            NaN            NaN
  0.6837500E+01            NaN            NaN            NaN
  0.6862500E+01            NaN            NaN            NaN
  0.6887500E+01            NaN            NaN            NaN
  0.6912500E+01            NaN            NaN            NaN
  0.6937500E+01            NaN            NaN            NaN
  0.6962500E+01            NaN            NaN            NaN
  0.6987500E+01            NaN            NaN            NaN
  0.7012500E+01            NaN            NaN            NaN
  0.7037500E+01            NaN            NaN            NaN
  0.7062500E+01            NaN            NaN            NaN
  0.7087500E+01            NaN            NaN            NaN
  0.7112500E+01            NaN            NaN            NaN
  0.7137500E+01            NaN            NaN            NaN
  0.7162500E+01            NaN            NaN            NaN
  0.7187500E+01            NaN            NaN            NaN
  0.7212500E+01            NaN            NaN            NaN
  0.7237500E+01            NaN            NaN            NaN
  0.7262500E+01            NaN            NaN            NaN
  0.7287500E+01            NaN            NaN            NaN
  0.7312500E+01            NaN            NaN            NaN
  0.7337500E+01            NaN            NaN            NaN
  0.7362500E+01            NaN            NaN            NaN
  0.7387500E+01            NaN            NaN            NaN
  0.7412500E+01            NaN            NaN            NaN
  0.7437500E+01            NaN            NaN            NaN
  0.7462500E+01            NaN            NaN            NaN
  0.7487500E+01            NaN            NaN            NaN
  0.7512500E+01            NaN            NaN            NaN
  0.7537500E+01            NaN            NaN            NaN
  0.7562500E+01            NaN            NaN            NaN
  0.7587500E+01            NaN            NaN            NaN
  0.7612500E+01            NaN            NaN            NaN
  0.7637500E+01            NaN            NaN            NaN
  0.7662500E+01            NaN            NaN            NaN
  0.7687500E+01            NaN            NaN            NaN
  0.7712500E+01            NaN            NaN            NaN
  0.7737500E+01            NaN            NaN            NaN
  0.7762500E+01            NaN            NaN            NaN
  0.7787500E+01            NaN            NaN            NaN
  0.7812500E+01            NaN            NaN            NaN
  0.7837500E+01            NaN            NaN            NaN
  0.7862500E+01            NaN            NaN            NaN
  0.7887500E+01            NaN            NaN            NaN
  0.7912500E+01            NaN            NaN            NaN
  0.7937500E+01            NaN            NaN            NaN
  0.7962500E+01            NaN            NaN            NaN
  0.7987500E+01            NaN            NaN            NaN
  0.8012500E+01            NaN            NaN            NaN
  0.8037500E+01            NaN            NaN            NaN
  0.8062500E+01            NaN            NaN            NaN
  0.8087500E+01            NaN            NaN            NaN
  0.8112500E+01            NaN            NaN            NaN
  0.8137500E+01            NaN            NaN            NaN
  0.8162500E+01            NaN            NaN            NaN
  0.8187500E+01            NaN            NaN            NaN
  0.8212500E+01            NaN            NaN            NaN
  0.8237500E+01            NaN            NaN            NaN
  0.8262500E+01            NaN            NaN            NaN
  0.8287500E+01            NaN            NaN            NaN
  0.8312500E+01            NaN            NaN            NaN
  0.8337500E+01            NaN            NaN            NaN
  0.8362500E+01            NaN            NaN            NaN
  0.8387500E+01            NaN            NaN            NaN
  0.8412500E+01            NaN            NaN            NaN
  0.8437500E+01  0.1055685E+04  0.1039126E-01  0.1459898E+02
  0.8462500E+01  0.1000665E+04  0.1000475E-01  0.1777311E+00
  0.8487500E+01  0.1000022E+04  0.1000016E-01  0.5920187E-02
  0.8512500E+01  0.1000001E+04  0.1000001E-01  0.2234025E-03
  0.8537500E+01  0.1000000E+04  0.1000000E-01  0.8746017E-05
  0.8562500E+01  0.1000000E+04  0.1000000E-01  0.3513148E-06
  0.8587500E+01  0.1000000E+04  0.1000000E-01  0.1448477E-07
  0.8612500E+01  0.1000000E+04  0.1000000E-01  0.6149325E-09
  0.8637500E+01  0.1000000E+04  0.1000000E-01  0.2698087E-10
  0.8662500E+01  0.1000000E+04  0.1000000E-01  0.1198783E-11
  0.8687500E+01  0.1000000E+04  0.1000000E-01  0.5642493E-13
  0.8712500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.8737500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.8762500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.8787500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.8812500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.8837500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.8862500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.8887500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.8912500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.8937500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.8962500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.8987500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.9012500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.9037500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.9062500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.9087500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
  0.9112500E+01  0.1000000E+04  0.1000000E-01  0.0000000E+00
